Date,Close,Volume,Unemployment Rate,rf_3 Yr,const
2020-04-21,67.15223693847656,73516000,14.8,0.24,1.0
2020-04-22,71.29833221435547,48335600,14.8,0.26,1.0
2020-04-23,70.7651138305664,42416000,14.8,0.26,1.0
2020-04-24,72.15545654296875,35232800,14.8,0.26,1.0
2020-04-27,74.02168273925781,47938800,14.8,0.29,1.0
2020-04-28,72.59648132324219,44290400,14.8,0.26,1.0
2020-04-29,74.36552429199219,37916000,14.8,0.24,1.0
2020-04-30,72.8257064819336,37591600,14.8,0.24,1.0
2020-05-01,70.45863342285156,34209600,13.2,0.25,1.0
2020-05-04,72.57901763916016,31755600,13.2,0.24,1.0
2020-05-05,73.1894760131836,36889600,13.2,0.24,1.0
2020-05-06,74.1986083984375,32346400,13.2,0.24,1.0
2020-05-07,75.96267700195312,37373200,13.2,0.19,1.0
2020-05-08,77.86380004882812,33921600,13.2,0.21,1.0
2020-05-11,80.38534545898438,46906000,13.2,0.24,1.0
2020-05-12,77.76412963867188,49306000,13.2,0.22,1.0
2020-05-13,77.53988647460938,62585200,13.2,0.2,1.0
2020-05-14,80.0365219116211,60231200,13.2,0.2,1.0
2020-05-15,84.6236343383789,98766000,13.2,0.19,1.0
2020-05-18,87.20995330810547,77446000,13.2,0.24,1.0
2020-05-19,87.76058959960938,71732000,13.2,0.22,1.0
2020-05-20,89.40008544921875,58753600,13.2,0.21,1.0
2020-05-21,87.4591064453125,76106800,13.2,0.21,1.0
2020-05-22,89.9607162475586,103876400,13.2,0.21,1.0
2020-05-26,86.88603973388672,77078000,13.2,0.22,1.0
2020-05-27,84.96746826171875,117589200,13.2,0.22,1.0
2020-05-28,84.58624267578125,73489600,13.2,0.22,1.0
2020-05-29,88.4582748413086,74525600,13.2,0.19,1.0
2020-06-01,87.76808166503906,38987600,11.0,0.2,1.0
2020-06-02,87.95745849609375,39132000,11.0,0.2,1.0
2020-06-03,87.40180206298828,36544000,11.0,0.26,1.0
2020-06-04,87.41177368164062,42428000,11.0,0.26,1.0
